Column1,name,mass,radius,orbital_period,semi_major_axis,eccentricity,angular_distance,inclination,discovered
170,CoRoT-19 b,1.11,1.29,3.8971372,0.0518,0.047,6.50E-05,87.61,2011
4912,XO-5 b,1.077,1.03,4.1877537,0.0487,0,0.000191,86.8,2008
4789,WASP-24 b,1.071,1.3,2.3412127,0.03651,0,0.000109,83.64,2010
430,HAT-P-5 b,1.06,1.252,2.788491,0.04079,0,0.00012,86.75,2007
441,HAT-P-6 b,1.057,1.33,3.853003,0.05235,0,0.000262,85.51,2007
412,HAT-P-35 b,1.054,1.332,3.646706,0.0498,0.025,9.30E-05,87.3,2012
160,CoRoT-1 b,1.03,1.49,1.50896848,0.0254,0,5.50E-05,83.96,2007
4791,WASP-26 b,1.028,1.281,2.7566004,0.03985,0,0.000159,82.91,2010
3437,Kepler-44 b,1,1.09,3.2467293,0.0446,0.066,2.00E-05,84.96,2011
4840,WASP-7 b,0.96,1.33,4.9546416,0.0617,0,0.000441,87.03,2008
4805,WASP-41 b,0.94,1.18,3.052404,0.04,0.026,0.000222,89.4,2010
4660,TrES-4 b,0.917,1.706,3.5539268,0.05084,0,0.000106,82.81,2007
163,CoRoT-12 b,0.917,1.44,2.8280517,0.04016,0.07,3.50E-05,85.48,2010
4792,WASP-28 b,0.907,1.213,3.40883,0.04469,0.046,0.000136,88.61,2010
4850,WASP-79 b,0.9,1.7,3.6623817,0.0539,0,0.000151,85.4,2012
4906,XO-1 b,0.9,1.184,3.9415128,0.0488,0,0.000244,89.31,2006
4849,WASP-78 b,0.89,1.7,2.17517656,0.0415,0,7.50E-05,89,2012
386,HAT-P-13 b,0.85,1.28,2.916243,0.0426,0.0142,0.000199,83.3,2009
4784,WASP-2 A b,0.847,1.079,2.15222144,0.03138,0,0.000218,84.73,2006
